"id","price"
2070,247.13
1496,94.35
2028,44.60
1973,109.23
2006,72.01
1604,98.39
1557,67.45
1898,180.81
1796,37.04
1759,5.41
1792,14.14
1840,98.15
1760,238.02
1620,255.31
1564,49.86
1636,263.77
1443,203.83
1922,186.37
2510,192.69
1923,121.79
1959,206.19
1502,137.31
1827,129.70
1176,167.84
1305,46.31
2318,232.91
1744,211.09
1261,245.42
1293,211.25
1222,186.40
1621,217.33
1729,10.92
1949,54.04
2003,204.03
1306,104.89
1307,244.62
2029,290.18
1609,188.76
1272,85.35
1262,89.12
1813,135.04
1248,108.08
1777,73.48
1771,3.84
1769,12.03
1876,21.27
1903,255.05
2542,151.91
1207,62.89
1147,49.80
2022,177.02
1223,161.52
1752,66.86
2306,122.38
1608,145.42
1610,245.87
1308,242.05
2063,233.30
1181,37.64
1208,116.19
2360,251.10
1948,20.11
2508,186.87
2045,279.04
1918,65.03
2049,91.34
1762,186.39
2457,180.22
2405,158.03
1746,223.12
1908,281.27
1360,31.45
2456,207.68
1756,84.63
2359,174.27
2307,47.29
2394,259.51
2376,259.37
